10200: 9703482, 9786245, 9544516, 9418347, 8426681, 9636715, 9463121, 9786252, 7303601, 9306867, 9735725, 9776420, 9749830, 8438145, 9788736, 7819000, 7516793, 9778787, 9526715, 9779366
10201: 9542734, 9498083, 9748060, 9714274, 9777364, 9779509, 9597965, 9775647, 9772903, 9774541, 9780561, 9765713, 9784696, 9768308, 9780020, 9776420, 9782319, 9771166, 9746034, 9773351
10623: 9752305, 9784875, 9785260, 9782319, 9402377, 9705454, 9773356, 9703482, 9713719, 9733003, 7516793, 9778102, 7986260, 9788736, 9777182, 9768308, 9648242, 9772835, 9780702, 9703727
10701: 9336894, 9703482, 8438145, 9768308, 9714274, 9778710, 9739106, 9402377, 9744513, 9781506, 8345701, 9777182, 9777804, 9776420, 9452817, 9749830, 9770450, 9336858, 9707797, 9764622
10971: 9391664, 9703482, 9777492, 8438145, 9790822, 9402377, 9782994, 9756361, 9774541, 9778257, 9762249, 9780020, 9780561, 9770450, 9776420, 9777043, 9768308, 9665755, 9349120, 9775716
11132: 9772475, 9733666, 9777804, 9648146, 9654479, 9715101, 9775131, 9648242, 9701323, 9776041, 9765955, 7986260, 9776148, 9785260, 9770450, 9779411, 9701366, 9776521, 9663230, 9771888
11609: 9779316, 9780807, 9272340, 9711800, 9746384, 9778827, 9781506, 8462836, 9735234, 9754265, 9721993, 9717601, 9581706, 9782083, 9679835, 9781080, 9782319, 9786719, 9773408, 9405451
11649: 9790414, 9544516, 9293016, 8462836, 9434608, 8598406, 9771995, 9487749, 9774541, 9781656, 9703482, 9785062, 8438145, 9529717, 9257304, 9779411, 9757698, 9775909, 9779520, 9603402
11724: 9685513, 9744513, 9703482, 9566590, 8550850, 8438145, 9598383, 9639777, 9776420, 9780193, 9376034, 9778102, 8312804, 7516793, 9777492, 9768308, 9223506, 9724792, 9349120, 9566489
11951: 9402377, 9783024, 9749830, 9780019, 9779580, 9776385, 9751115, 9770390, 9775776, 9729924, 9452817, 9735725, 7516793, 9776420, 9768308, 9784696, 9782319, 9774708, 9785644, 9767566
