U1085, iter_0: news_150, news_2864, news_5797, news_4249, news_5606, news_4083, news_8643, news_4237, news_1244, news_1120, news_2824, news_195, news_5752, news_4781, news_7242, news_4140, news_8308, news_683, news_144, news_4715
U2802, iter_0: news_2824, news_150, news_1244, news_3947, news_4715, news_5797, news_1291, news_2864, news_4781, news_5884, news_5051, news_4266, news_8189, news_4681, news_8643, news_7242, news_3563, news_211, news_5752, news_195
U1305, iter_0: news_3947, news_2864, news_150, news_4715, news_8189, news_195, news_3563, news_5752, news_4781, news_7242, news_4681, news_4266, news_4083, news_4249, news_8643, news_4237, news_211, news_1301, news_4650, news_1120
U1512, iter_0: news_6315, news_7166, news_557, news_5832, news_4715, news_4190, news_1477, news_8468, news_376, news_8143, news_454, news_7155, news_623, news_769, news_7119, news_4681, news_5193, news_6703, news_150, news_571
U3433, iter_0: news_195, news_4140, news_8189, news_4715, news_150, news_5752, news_5797, news_4083, news_7242, news_8308, news_4249, news_4681, news_1301, news_211, news_7824, news_4237, news_3491, news_4650, news_2801, news_8643
U354, iter_0: news_195, news_8189, news_4715, news_2864, news_2824, news_4083, news_7242, news_5752, news_4249, news_150, news_5797, news_4237, news_4266, news_3491, news_4650, news_4681, news_1301, news_8308, news_2801, news_1120
U57, iter_0: news_4715, news_2824, news_8189, news_150, news_195, news_7242, news_4249, news_5752, news_4083, news_3563, news_4140, news_4237, news_4681, news_4266, news_4650, news_2801, news_1301, news_8643, news_1120, news_144
U1324, iter_0: news_3563, news_4781, news_4237, news_5606, news_3947, news_2824, news_683, news_2864, news_211, news_4650, news_3491, news_8189, news_1244, news_150, news_195, news_4266, news_8643, news_5797, news_2801, news_1120
U3852, iter_0: news_5606, news_4140, news_3563, news_4083, news_144, news_8308, news_683, news_1301, news_5752, news_1120, news_3491, news_4237, news_2801, news_7212, news_4249, news_195, news_4650, news_1291, news_7242, news_5884
U5515, iter_0: news_4083, news_5752, news_8189, news_1301, news_7242, news_4249, news_2553, news_1656, news_4159, news_6748, news_6137, news_3894, news_7107, news_3956, news_2692, news_7143, news_6548, news_6436, news_6818, news_2476
U808, iter_0: news_8189, news_4715, news_3947, news_7242, news_4781, news_3563, news_5051, news_195, news_5606, news_4140, news_4249, news_2824, news_5752, news_4237, news_1291, news_150, news_8643, news_4083, news_2864, news_4650
U2391, iter_0: news_5884, news_8189, news_4237, news_1244, news_4249, news_211, news_2824, news_7242, news_1120, news_3491, news_4140, news_2801, news_5752, news_4083, news_195, news_4715, news_4650, news_683, news_5606, news_2864
