U1085, iter_0: news_5051, news_4715, news_8189, news_150, news_2864, news_5884, news_3563, news_5752, news_5797, news_7242, news_4140, news_4681, news_4249, news_7824, news_5606, news_4083, news_8643, news_4237, news_1301, news_4266
U2802, iter_0: news_2824, news_150, news_1244, news_3947, news_4715, news_5797, news_1291, news_2864, news_4781, news_5884, news_5051, news_4266, news_8189, news_4681, news_8643, news_7242, news_3563, news_211, news_5752, news_195
U1305, iter_0: news_3947, news_5051, news_2824, news_2864, news_150, news_4715, news_5884, news_1291, news_8189, news_195, news_3563, news_5797, news_4140, news_5752, news_4781, news_7242, news_4681, news_4266, news_4083, news_4249
U1512, iter_0: news_1291, news_4715, news_2864, news_5051, news_8308, news_4681, news_150, news_5797, news_5752, news_7824, news_8189, news_5884, news_2824, news_3947, news_1301, news_7242, news_3563, news_5606, news_211, news_4266
U3433, iter_0: news_796, news_4375, news_2573, news_6055, news_5002, news_1288, news_427, news_5196, news_5832, news_5193, news_454, news_8189, news_958, news_2950, news_4715, news_5632, news_8409, news_6543, news_150, news_4581
U354, iter_0: news_3947, news_195, news_5884, news_8189, news_4715, news_2864, news_2824, news_4140, news_3563, news_4083, news_7242, news_5752, news_5606, news_1291, news_4249, news_5051, news_150, news_5797, news_4237, news_4781
U57, iter_0: news_4715, news_2824, news_8189, news_150, news_195, news_7242, news_4249, news_5752, news_4083, news_3563, news_4140, news_4237, news_4681, news_4266, news_4650, news_2801, news_1301, news_8643, news_1120, news_144
U1324, iter_0: news_4781, news_4237, news_2864, news_4650, news_8189, news_1244, news_150, news_4715, news_4249, news_5752, news_7242, news_5606, news_3947, news_1120, news_7212, news_4083, news_5797, news_1301, news_1291, news_4681
U3852, iter_0: news_5606, news_4140, news_3563, news_4083, news_144, news_8308, news_683, news_1301, news_5752, news_1120, news_3491, news_4237, news_2801, news_7212, news_4249, news_195, news_4650, news_1291, news_7242, news_5884
U5515, iter_0: news_5884, news_2824, news_2864, news_5606, news_4140, news_4083, news_195, news_3947, news_8308, news_5051, news_683, news_1291, news_5752, news_3563, news_4715, news_1120, news_5797, news_8189, news_3491, news_211
U808, iter_0: news_8189, news_4715, news_4249, news_4237, news_150, news_8643, news_1301, news_4681, news_285, news_3964, news_1367, news_8119, news_6221, news_89, news_885, news_2559, news_8098, news_3528, news_4632, news_6874
U2391, iter_0: news_5884, news_8189, news_4237, news_1244, news_4249, news_211, news_2824, news_7242, news_1120, news_3491, news_4140, news_2801, news_5752, news_4083, news_195, news_4650, news_683, news_5606, news_2864, news_4781
U6044, iter_0: news_5051, news_2824, news_1301, news_3563, news_5606, news_7212, news_2864, news_5752, news_4681, news_4083, news_7824, news_3491, news_150, news_8189, news_7242, news_4715, news_4249, news_8643, news_2801, news_4237
U908, iter_0: news_8189, news_4715, news_4237, news_150, news_4249, news_8643, news_4681, news_1301, news_5945, news_6221, news_4303, news_1451, news_6559, news_2527, news_2972, news_6516, news_4284, news_2338, news_1903, news_6875
U6346, iter_0: news_3947, news_4140, news_8189, news_3563, news_2824, news_195, news_5884, news_5606, news_4715, news_5752, news_7242, news_4083, news_2864, news_1291, news_150, news_4249, news_5051, news_4781, news_4237, news_5797
U3297, iter_0: news_5884, news_2864, news_150, news_4715, news_5752, news_8189, news_4681, news_4083, news_5606, news_1301, news_7242, news_1120, news_683, news_4249, news_4781, news_4237, news_7212, news_8643, news_4140, news_5797
U14, iter_0: news_5072, news_7200, news_1477, news_958, news_553, news_4715, news_623, news_5002, news_2950, news_6717, news_6666, news_5752, news_670, news_557, news_2951, news_5615, news_5196, news_8409, news_8189, news_3937
U3352, iter_0: news_150, news_8189, news_4715, news_4781, news_3947, news_8643, news_3563, news_1291, news_7824, news_195, news_7242, news_5752, news_4249, news_5797, news_1244, news_4140, news_5051, news_2824, news_4237, news_4266
U960, iter_0: news_1291, news_4715, news_150, news_5884, news_8189, news_3947, news_7824, news_5797, news_2824, news_4681, news_2864, news_5752, news_211, news_195, news_3563, news_8308, news_1301, news_4781, news_7242, news_5606
U5040, iter_0: news_7824, news_1301, news_7212, news_211, news_4681, news_5797, news_8308, news_4266, news_1291, news_5051, news_5752, news_3563, news_1244, news_5884, news_2864, news_1120, news_144, news_4140, news_2801, news_683
U3041, iter_0: news_8189, news_4650, news_4781, news_7242, news_4249, news_2801, news_5606, news_1244, news_2824, news_4083, news_144, news_3491, news_2864, news_8643, news_3947, news_683, news_1291, news_5752, news_195, news_150
U3143, iter_0: news_8409, news_557, news_4715, news_1288, news_5002, news_7119, news_8189, news_5646, news_1477, news_2573, news_5303, news_7200, news_7242, news_8433, news_5654, news_150, news_6154, news_6543, news_8468, news_553
U91, iter_0: news_8479, news_2281, news_6154, news_3976, news_4237, news_1265, news_958, news_6659, news_8643, news_8143, news_8189, news_5072, news_8627, news_5752, news_1128, news_4249, news_1301, news_7200, news_3937, news_5615
U3066, iter_0: news_3563, news_5051, news_8308, news_150, news_2824, news_5752, news_195, news_5797, news_2864, news_1301, news_8189, news_4681, news_4715, news_211, news_8643, news_5606, news_7242, news_4083, news_4781, news_4249
U1235, iter_0: news_150, news_8189, news_4715, news_4681, news_1301, news_4249, news_8643, news_4237, news_1382, news_656, news_1940, news_6055, news_6237, news_6137, news_1420, news_6117, news_937, news_8290, news_8192, news_4551
U1608, iter_0: news_1477, news_4715, news_5193, news_557, news_8189, news_7200, news_958, news_571, news_8479, news_8409, news_6703, news_1128, news_454, news_427, news_3976, news_264, news_5646, news_4190, news_150, news_2281
U1282, iter_0: news_150, news_8189, news_4781, news_7824, news_1244, news_4140, news_4715, news_3563, news_3947, news_4249, news_195, news_1291, news_4237, news_7242, news_8643, news_5752, news_2824, news_5606, news_5797, news_4083
U1178, iter_0: news_5303, news_6659, news_2281, news_911, news_4237, news_5072, news_264, news_1477, news_8189, news_5193, news_1128, news_7200, news_454, news_623, news_4715, news_4071, news_514, news_7112, news_5615, news_4249
U3194, iter_0: news_8189, news_958, news_7200, news_6666, news_6717, news_1477, news_553, news_911, news_4375, news_4715, news_378, news_1128, news_7119, news_2951, news_4249, news_4237, news_7242, news_8444, news_4083, news_5654
U1369, iter_0: news_150, news_8189, news_4715, news_2824, news_4781, news_4140, news_1291, news_7242, news_5884, news_5797, news_4249, news_5752, news_4083, news_4237, news_8643, news_4266, news_7824, news_4681, news_1301, news_2801
U3687, iter_0: news_5884, news_4083, news_3491, news_2864, news_211, news_4237, news_1120, news_4249, news_8189, news_7242, news_5752, news_4715, news_4650, news_1244, news_1301, news_4681, news_3563, news_4781, news_7824, news_150
U4903, iter_0: news_8308, news_3563, news_5752, news_1301, news_5606, news_5884, news_4681, news_195, news_4715, news_4266, news_4083, news_8643, news_8189, news_7242, news_683, news_150, news_1120, news_2801, news_211, news_4249
U5155, iter_0: news_8189, news_5752, news_1301, news_7242, news_4249, news_4083, news_1239, news_5415, news_6200, news_6106, news_1406, news_7802, news_6738, news_4616, news_3369, news_8529, news_4978, news_7509, news_1072, news_5213
U1262, iter_0: news_7212, news_5884, news_211, news_8308, news_2824, news_5051, news_683, news_1301, news_1120, news_4681, news_5797, news_5606, news_2864, news_144, news_3491, news_4140, news_5752, news_4266, news_7824, news_3563
U4607, iter_0: news_211, news_7824, news_1244, news_5884, news_5797, news_1291, news_4681, news_2824, news_1301, news_8308, news_5752, news_8643, news_150, news_3563, news_4266, news_5606, news_4781, news_144, news_4715, news_4140
U1016, iter_0: news_7824, news_150, news_4681, news_4715, news_211, news_5752, news_4140, news_4781, news_1244, news_195, news_2864, news_8189, news_1301, news_8643, news_7242, news_4249, news_4083, news_4237, news_2801, news_3491
U3950, iter_0: news_3563, news_8308, news_4140, news_7824, news_5606, news_5797, news_4681, news_150, news_8643, news_1301, news_3947, news_211, news_5752, news_4715, news_1120, news_8189, news_1244, news_4083, news_7242, news_4249
U2236, iter_0: news_5606, news_144, news_683, news_5884, news_1291, news_2824, news_4237, news_211, news_1244, news_5752, news_8308, news_4681, news_7824, news_1120, news_2801, news_1301, news_3491, news_3563, news_5797, news_7242
U601, iter_0: news_195, news_4140, news_2824, news_2864, news_8189, news_4715, news_5752, news_4083, news_150, news_5051, news_7242, news_4249, news_8308, news_1301, news_4681, news_4237, news_3491, news_2801, news_144, news_1244
U1361, iter_0: news_150, news_8189, news_4715, news_7824, news_3947, news_5051, news_4781, news_195, news_1291, news_3563, news_5752, news_8643, news_5797, news_4140, news_4249, news_7242, news_4681, news_1301, news_4237, news_2824
U871, iter_0: news_5606, news_3563, news_5884, news_5752, news_4140, news_211, news_8308, news_683, news_144, news_1301, news_7824, news_1291, news_4681, news_7212, news_1120, news_1244, news_2824, news_5797, news_4237, news_8643
U5283, iter_0: news_5884, news_4140, news_4083, news_5606, news_8189, news_5752, news_3563, news_2824, news_7242, news_4715, news_4249, news_4237, news_1120, news_144, news_3491, news_4650, news_4266, news_2801, news_1301, news_150
U6132, iter_0: news_8189, news_4715, news_5606, news_2824, news_4140, news_7242, news_4249, news_4237, news_195, news_3947, news_4781, news_4083, news_1291, news_3563, news_5884, news_5752, news_683, news_2801, news_1244, news_144
U1985, iter_0: news_2824, news_150, news_3947, news_1291, news_5051, news_8189, news_8308, news_5752, news_4083, news_1301, news_4249, news_5606, news_3491, news_683, news_4650, news_2801, news_4237, news_7212, news_4266, news_195
U2762, iter_0: news_150, news_5051, news_1291, news_7824, news_8189, news_4715, news_4781, news_4681, news_8643, news_2864, news_5752, news_4140, news_7242, news_4249, news_1301, news_8308, news_4237, news_4083, news_4650, news_1120
U2786, iter_0: news_144, news_8308, news_1301, news_4083, news_3491, news_4140, news_5752, news_4681, news_2801, news_3563, news_4266, news_5797, news_4237, news_1244, news_4249, news_7242, news_8643, news_5051, news_4781, news_8189
U1060, iter_0: news_5884, news_2824, news_4140, news_2864, news_5051, news_3947, news_1291, news_3563, news_8308, news_5606, news_195, news_5797, news_5752, news_211, news_4083, news_1301, news_4681, news_4266, news_4715, news_683
U3670, iter_0: news_1301, news_4681, news_8643, news_8189, news_150, news_4237, news_4715, news_4249, news_1937, news_4635, news_1476, news_726, news_101, news_6576, news_937, news_1571, news_2682, news_864, news_1195, news_524
U5476, iter_0: news_5654, news_6543, news_8189, news_7119, news_4715, news_2573, news_8409, news_150, news_557, news_3976, news_1288, news_427, news_5646, news_2281, news_8479, news_5752, news_482, news_1477, news_8468, news_6421
U4361, iter_0: news_2824, news_3947, news_4781, news_1291, news_5051, news_5884, news_7824, news_5797, news_7242, news_195, news_5606, news_2864, news_5752, news_1244, news_211, news_3563, news_4140, news_4083, news_4650, news_4266
U1055, iter_0: news_2824, news_5051, news_4140, news_195, news_8189, news_3563, news_5752, news_7242, news_5797, news_5606, news_4083, news_4681, news_4249, news_4781, news_4266, news_4237, news_3491, news_7824, news_8643, news_683
U1067, iter_0: news_8189, news_5051, news_4781, news_3947, news_2824, news_4715, news_150, news_4237, news_4249, news_8643, news_7242, news_5797, news_195, news_3563, news_5752, news_5606, news_211, news_5884, news_4650, news_4681
U1674, iter_0: news_796, news_8468, news_7119, news_8627, news_5654, news_6055, news_6315, news_4722, news_6666, news_7112, news_5196, news_7166, news_5002, news_6452, news_427, news_1288, news_2950, news_2573, news_4375, news_3937
U2371, iter_0: news_8189, news_4140, news_4715, news_195, news_5752, news_4083, news_4237, news_7242, news_5884, news_4249, news_3947, news_5051, news_1301, news_7824, news_2864, news_8643, news_2824, news_4681, news_5797, news_150
U2396, iter_0: news_195, news_4715, news_3947, news_4140, news_150, news_7242, news_2824, news_3563, news_4083, news_5752, news_5884, news_1291, news_4781, news_2864, news_4237, news_5606, news_5797, news_4266, news_7824, news_1244
U2702, iter_0: news_5884, news_683, news_5606, news_4083, news_211, news_8308, news_1244, news_5752, news_3563, news_1301, news_4237, news_195, news_2864, news_8189, news_7242, news_4249, news_4715, news_4681, news_7824, news_8643
U733, iter_0: news_1244, news_4715, news_5797, news_150, news_4781, news_8643, news_4681, news_5752, news_8189, news_3563, news_211, news_1301, news_7242, news_4237, news_4249, news_3947, news_195, news_1120, news_4083, news_1291
U3305, iter_0: news_4140, news_8308, news_5752, news_8189, news_2824, news_1301, news_4715, news_4083, news_7242, news_3491, news_4681, news_4249, news_1120, news_211, news_150, news_2801, news_4237, news_8643, news_144, news_4781
U2253, iter_0: news_4140, news_3563, news_1291, news_5606, news_8189, news_4715, news_7824, news_5752, news_4781, news_3947, news_195, news_4237, news_2824, news_4249, news_7242, news_5884, news_150, news_8643, news_1244, news_1301
U3942, iter_0: news_5884, news_4140, news_2824, news_3563, news_3947, news_195, news_5606, news_2864, news_8308, news_4083, news_8189, news_5752, news_683, news_1301, news_1120, news_3491, news_7242, news_4715, news_5051, news_4249
U5726, iter_0: news_6666, news_7112, news_5002, news_5654, news_8468, news_1477, news_7119, news_5193, news_958, news_6315, news_8143, news_4715, news_3976, news_557, news_7166, news_454, news_8189, news_7200, news_553, news_623
U1432, iter_0: news_6315, news_5002, news_796, news_4722, news_5654, news_7119, news_8468, news_4103, news_4375, news_557, news_6666, news_454, news_6452, news_1288, news_8627, news_1477, news_5832, news_5193, news_7166, news_2573
U660, iter_0: news_150, news_7824, news_3563, news_8189, news_5797, news_195, news_4140, news_5752, news_1301, news_211, news_4249, news_8308, news_1244, news_5606, news_2801, news_144, news_1120, news_683, news_7212, news_1291
U1664, iter_0: news_1291, news_5051, news_7824, news_5797, news_2824, news_3947, news_211, news_4781, news_2864, news_5884, news_3563, news_5752, news_8308, news_1244, news_5606, news_4266, news_7242, news_4140, news_195, news_2801
