U1085, iter_0: news_5072, news_4071, news_8189, news_6659, news_264, news_378, news_4715, news_4722, news_4681, news_8433, news_2950, news_2951, news_5646, news_8409, news_6055, news_2347, news_1477, news_5193, news_427, news_5654
U2802, iter_0: news_683, news_5606, news_5884, news_150, news_2864, news_7242, news_7824, news_1291, news_4650, news_195, news_4715, news_1244, news_144, news_8189, news_8308, news_4681, news_5797, news_4083, news_3947, news_211
U1305, iter_0: news_4715, news_8189, news_5051, news_1244, news_7242, news_4781, news_5606, news_5752, news_4237, news_5797, news_1301, news_7824, news_8643, news_3563, news_4681, news_150, news_4249, news_4083, news_3947, news_2864
U1512, iter_0: news_211, news_4715, news_3563, news_4681, news_5051, news_2824, news_8189, news_195, news_5797, news_7212, news_2864, news_4249, news_3491, news_1244, news_4140, news_8308, news_4650, news_4083, news_5752, news_144
U3433, iter_0: news_4715, news_8189, news_5051, news_2824, news_4140, news_3947, news_4781, news_1244, news_2864, news_5752, news_7242, news_4237, news_5797, news_8308, news_7212, news_5606, news_211, news_3491, news_195, news_1291
U354, iter_0: news_4715, news_8189, news_4140, news_2824, news_1301, news_3491, news_4237, news_8308, news_5752, news_7824, news_7242, news_1120, news_2864, news_7212, news_8643, news_211, news_150, news_4681, news_144, news_2801
U57, iter_0: news_144, news_5884, news_683, news_1291, news_3563, news_5752, news_5797, news_3947, news_150, news_2864, news_4715, news_1120, news_4781, news_8308, news_1301, news_5606, news_4681, news_2824, news_3491, news_7212
U1324, iter_0: news_8643, news_4715, news_4237, news_5606, news_7242, news_8189, news_3947, news_5752, news_150, news_4083, news_5051, news_195, news_2824, news_1301, news_2864, news_2801, news_3563, news_4249, news_683, news_4781
U3852, iter_0: news_150, news_5884, news_683, news_2864, news_8308, news_5051, news_4681, news_4650, news_5606, news_3947, news_4715, news_2824, news_1291, news_3563, news_7242, news_195, news_1301, news_1120, news_8643, news_8189
U5515, iter_0: news_5051, news_8189, news_4140, news_4781, news_3947, news_2824, news_5752, news_7212, news_1244, news_4237, news_5797, news_8308, news_1291, news_3491, news_2864, news_5884, news_4249, news_4266, news_7242, news_7824
U808, iter_0: news_5884, news_4715, news_150, news_5606, news_5051, news_4681, news_8189, news_1291, news_7824, news_4140, news_1301, news_1120, news_5797, news_7242, news_3491, news_8643, news_4266, news_5752, news_211, news_4237
U2391, iter_0: news_5884, news_150, news_4715, news_3947, news_5606, news_4681, news_195, news_1291, news_8189, news_5051, news_7824, news_7242, news_2824, news_4140, news_1301, news_4781, news_211, news_5797, news_1244, news_1120
U6044, iter_0: news_1291, news_7824, news_4715, news_8189, news_7242, news_5606, news_8643, news_1244, news_211, news_5884, news_4237, news_4266, news_3947, news_150, news_195, news_5797, news_2824, news_5752, news_1120, news_4140
U908, iter_0: news_5752, news_7242, news_1301, news_4083, news_8189, news_4249, news_8597, news_284, news_1244, news_5523, news_7579, news_7515, news_261, news_3538, news_572, news_2689, news_2733, news_8120, news_2396, news_1799
U6346, iter_0: news_4715, news_8189, news_211, news_2824, news_2864, news_4681, news_5797, news_195, news_3491, news_5752, news_4781, news_4249, news_4237, news_7242, news_4083, news_1291, news_1301, news_5884, news_1120, news_2801
U3297, iter_0: news_4715, news_211, news_1291, news_8189, news_1244, news_5606, news_2824, news_8643, news_4266, news_3947, news_4237, news_7242, news_5051, news_7824, news_195, news_4140, news_2864, news_5752, news_150, news_5797
U14, iter_0: news_4715, news_3947, news_8189, news_5051, news_2824, news_5606, news_4140, news_1244, news_4781, news_7242, news_211, news_1291, news_5752, news_5797, news_4237, news_1301, news_2864, news_195, news_8308, news_7824
U3352, iter_0: news_5884, news_3947, news_4715, news_5051, news_150, news_8189, news_4681, news_2824, news_1120, news_1301, news_1244, news_195, news_5752, news_8643, news_7242, news_4266, news_4237, news_2864, news_4083, news_2801
U960, iter_0: news_4715, news_8189, news_2824, news_5051, news_4140, news_1244, news_3947, news_2864, news_4781, news_7242, news_211, news_5752, news_5797, news_8308, news_4237, news_7212, news_3563, news_195, news_1291, news_5606
U5040, iter_0: news_5193, news_5654, news_1288, news_796, news_1477, news_557, news_454, news_4114, news_150, news_7242, news_7112, news_6315, news_4260, news_8189, news_4722, news_4715, news_571, news_3976, news_2950, news_5632
U3041, iter_0: news_1291, news_2864, news_7242, news_683, news_4083, news_5606, news_7824, news_144, news_5884, news_8308, news_8189, news_4715, news_4237, news_5797, news_4650, news_5752, news_195, news_150, news_4681, news_4140
U3143, iter_0: news_3947, news_150, news_1301, news_3491, news_4681, news_2824, news_4715, news_4140, news_4237, news_1120, news_8643, news_8189, news_7824, news_4083, news_1244, news_4266, news_5752, news_7212, news_4249, news_195
U91, iter_0: news_3947, news_4715, news_8189, news_5051, news_4140, news_4781, news_2824, news_5752, news_1244, news_8308, news_3491, news_4237, news_5797, news_7212, news_1301, news_1291, news_4266, news_5884, news_1120, news_5606
U3066, iter_0: news_4715, news_150, news_5606, news_3947, news_7242, news_8189, news_195, news_7824, news_211, news_4681, news_1244, news_2824, news_8643, news_1301, news_5752, news_8308, news_7212, news_4237, news_4083, news_2801
