U1085, iter_0: news_8189, news_4715, news_4681, news_4237, news_4249, news_1301, news_150, news_8643, news_4758, news_6240, news_6438, news_905, news_6148, news_1863, news_625, news_2897, news_5415, news_8450, news_7711, news_7116
U2802, iter_0: news_683, news_5606, news_5884, news_150, news_2864, news_7242, news_7824, news_1291, news_4650, news_195, news_4715, news_1244, news_144, news_8189, news_8308, news_4681, news_5797, news_4083, news_3947, news_211
U1305, iter_0: news_4715, news_8189, news_5051, news_1244, news_7242, news_4781, news_5606, news_5752, news_4237, news_5797, news_1301, news_7824, news_8643, news_3563, news_4681, news_150, news_4249, news_4083, news_3947, news_2864
U1512, iter_0: news_211, news_4715, news_3563, news_4681, news_5051, news_2824, news_195, news_5797, news_7212, news_2864, news_3491, news_1244, news_4140, news_8308, news_4650, news_4083, news_5752, news_144, news_3947, news_5884
U3433, iter_0: news_4715, news_8189, news_2824, news_3947, news_1244, news_2864, news_5752, news_7242, news_4237, news_7212, news_5606, news_211, news_3491, news_1291, news_1301, news_4681, news_4266, news_8643, news_7824, news_4249
U354, iter_0: news_8189, news_1301, news_5752, news_7242, news_4083, news_4249, news_5631, news_978, news_2097, news_7734, news_6108, news_4230, news_6240, news_2559, news_2434, news_5765, news_6282, news_6768, news_8231, news_5804
U57, iter_0: news_5752, news_1301, news_4083, news_8189, news_7242, news_4249, news_1365, news_1858, news_2278, news_2507, news_5488, news_2053, news_6569, news_4017, news_4076, news_5040, news_1055, news_1713, news_3528, news_1739
U1324, iter_0: news_4375, news_8479, news_796, news_2723, news_8143, news_5193, news_454, news_4722, news_6315, news_7119, news_482, news_8643, news_2474, news_8468, news_1477, news_7824, news_6543, news_5632, news_7166, news_6459
U3852, iter_0: news_150, news_5884, news_8308, news_4681, news_3947, news_4715, news_2824, news_3563, news_7242, news_1301, news_1120, news_8643, news_8189, news_4140, news_4083, news_211, news_7212, news_1244, news_5752, news_3491
U5515, iter_0: news_5072, news_4375, news_4103, news_3976, news_4715, news_8189, news_911, news_6154, news_6543, news_7112, news_4722, news_7119, news_2951, news_514, news_6055, news_623, news_8409, news_5752, news_6703, news_4071
U808, iter_0: news_5884, news_4715, news_150, news_5606, news_5051, news_4681, news_8189, news_1291, news_7824, news_4140, news_1301, news_1120, news_5797, news_7242, news_3491, news_8643, news_4266, news_5752, news_211, news_4237
U2391, iter_0: news_7119, news_5884, news_1288, news_557, news_3976, news_6154, news_8444, news_4190, news_796, news_6315, news_376, news_3947, news_8409, news_6055, news_5654, news_4375, news_427, news_5832, news_8258, news_5606
U6044, iter_0: news_4715, news_8189, news_7242, news_8643, news_211, news_4237, news_3947, news_150, news_195, news_2824, news_5752, news_5051, news_1301, news_4083, news_2801, news_4681, news_4249, news_8308, news_144, news_7824
U908, iter_0: news_1244, news_5752, news_144, news_3563, news_4237, news_5797, news_3947, news_150, news_2864, news_7242, news_5606, news_2824, news_1301, news_7824, news_4083, news_4681, news_8189, news_3491, news_4715, news_4650
U6346, iter_0: news_4715, news_8189, news_211, news_5051, news_2824, news_3563, news_2864, news_4140, news_1244, news_4681, news_5797, news_7212, news_195, news_3491, news_5752, news_8308, news_3947, news_4781, news_4249, news_4237
U3297, iter_0: news_4715, news_211, news_1291, news_8189, news_1244, news_5606, news_2824, news_8643, news_4266, news_3947, news_4237, news_7242, news_5051, news_7824, news_195, news_4140, news_2864, news_5752, news_150, news_5797
U14, iter_0: news_4715, news_8189, news_5051, news_2824, news_7242, news_211, news_5752, news_5797, news_4237, news_1301, news_2864, news_195, news_8308, news_7824, news_4266, news_8643, news_4681, news_150, news_144, news_4249
U3352, iter_0: news_8189, news_1301, news_5752, news_7242, news_4083, news_4249, news_7788, news_2795, news_3359, news_5765, news_5423, news_4031, news_6873, news_1918, news_175, news_7143, news_4978, news_8582, news_7802, news_7670
U960, iter_0: news_4715, news_8189, news_2824, news_4140, news_1244, news_2864, news_4781, news_7242, news_211, news_5752, news_5797, news_8308, news_4237, news_3563, news_5606, news_1301, news_4681, news_3491, news_4249, news_8643
U5040, iter_0: news_5193, news_5654, news_1288, news_796, news_1477, news_557, news_454, news_4114, news_150, news_7242, news_7112, news_6315, news_4260, news_8189, news_4722, news_4715, news_571, news_3976, news_2950, news_5632
U3041, iter_0: news_1291, news_2864, news_7242, news_4083, news_5606, news_8308, news_8189, news_4715, news_4237, news_5752, news_195, news_150, news_4681, news_211, news_8643, news_5051, news_4781, news_4249, news_1301, news_3563
U3143, iter_0: news_5884, news_5051, news_3947, news_683, news_1301, news_5606, news_3491, news_2824, news_3563, news_4140, news_1291, news_1120, news_4781, news_8189, news_2864, news_8308, news_4650, news_7824, news_4083, news_5797
U91, iter_0: news_4715, news_6154, news_4375, news_3976, news_6543, news_5072, news_8189, news_911, news_4103, news_6055, news_2951, news_514, news_7119, news_8409, news_4722, news_8258, news_8143, news_7112, news_557, news_796
U3066, iter_0: news_7119, news_557, news_6154, news_4715, news_150, news_6315, news_5832, news_1128, news_427, news_6666, news_4581, news_360, news_7242, news_8189, news_5002, news_6659, news_7112, news_5303, news_4722, news_571
