U1085: news_7531, news_5072, news_8489, news_4083, news_7688, news_5051, news_3956, news_2824, news_4031, news_8189, news_1225, news_4715, news_7769, news_5797, news_4604, news_4071, news_1562, news_4681, news_174, news_1244
U2802: news_3621, news_5002, news_2503, news_7242, news_5682, news_683, news_4605, news_5606, news_6728, news_150, news_5781, news_8189, news_3422, news_5884, news_1739, news_7119, news_1461, news_4083, news_7767, news_2864
U1305: news_6226, news_4715, news_5932, news_7242, news_6148, news_3947, news_6143, news_5051, news_4031, news_8189, news_174, news_4237, news_2548, news_2824, news_5572, news_6154, news_1367, news_5752, news_6014, news_1244
U1512: news_4219, news_553, news_8489, news_4083, news_7688, news_211, news_4126, news_3563, news_4031, news_4715, news_6148, news_5752, news_3956, news_5051, news_7531, news_482, news_1562, news_4681, news_1225, news_2824
U3433: news_6143, news_4715, news_5932, news_5752, news_6148, news_5051, news_6226, news_2824, news_4031, news_8189, news_7131, news_7242, news_6033, news_4140, news_6108, news_6154, news_174, news_4237, news_6014, news_3947
U354: news_5572, news_6154, news_6148, news_5752, news_1367, news_3947, news_6143, news_5051, news_6023, news_4715, news_8231, news_7242, news_6226, news_4140, news_5, news_1288, news_7078, news_8189, news_5987, news_4781
U57: news_1178, news_2820, news_6691, news_5752, news_682, news_5051, news_354, news_144, news_5274, news_150, news_1020, news_1301, news_241, news_5884, news_7556, news_8468, news_8018, news_4083, news_4559, news_683
U1324: news_1178, news_4375, news_1675, news_7242, news_6167, news_7824, news_937, news_1291, news_2934, news_8643, news_7904, news_8189, news_8555, news_5606, news_6503, news_8479, news_5535, news_4715, news_6665, news_4266
U3852: news_7852, news_7119, news_153, news_7242, news_5682, news_5884, news_2447, news_683, news_8281, news_150, news_4199, news_1301, news_7670, news_2864, news_7114, news_7112, news_4727, news_8189, news_999, news_8308
U5515: news_6143, news_5072, news_6148, news_5752, news_7131, news_5051, news_6033, news_4140, news_6023, news_4715, news_8231, news_7242, news_6108, news_4781, news_6226, news_4375, news_4013, news_8189, news_1225, news_3947
U808: news_741, news_7119, news_1367, news_7242, news_5682, news_5884, news_4000, news_3947, news_5781, news_1288, news_1870, news_8189, news_7856, news_5606, news_6259, news_557, news_7830, news_4715, news_7664, news_5051
U2391: news_741, news_7119, news_1367, news_7242, news_5682, news_5884, news_7856, news_3947, news_5532, news_150, news_5781, news_8189, news_7810, news_5606, news_934, news_1288, news_6476, news_1301, news_7830, news_195
U6044: news_7667, news_8479, news_7789, news_7242, news_4064, news_1291, news_6226, news_7824, news_4284, news_4715, news_5781, news_8189, news_7570, news_5606, news_4007, news_4375, news_6665, news_8643, news_5535, news_1244
U908: news_1178, news_4114, news_7737, news_5752, news_3454, news_4266, news_6679, news_1244, news_4196, news_4237, news_5197, news_1301, news_1097, news_5884, news_2076, news_6717, news_315, news_7242, news_1164, news_5051
U6346: news_4126, news_4715, news_4031, news_5752, news_8489, news_211, news_6226, news_5051, news_6148, news_4071, news_1225, news_4681, news_7531, news_2824, news_4219, news_8468, news_174, news_8189, news_7131, news_3563
U3297: news_741, news_8479, news_6148, news_7242, news_1367, news_211, news_1125, news_1291, news_5945, news_4715, news_6665, news_5752, news_6226, news_1244, news_4000, news_5193, news_5535, news_8189, news_4064, news_5606
U14: news_5572, news_6154, news_6148, news_7242, news_1367, news_3947, news_6143, news_5051, news_5932, news_4715, news_174, news_8189, news_2548, news_2824, news_6226, news_557, news_6014, news_5752, news_8577, news_5606
U3352: news_741, news_7119, news_1367, news_5752, news_5682, news_5884, news_5572, news_3947, news_1168, news_4715, news_5781, news_8189, news_8037, news_5606, news_8396, news_1288, news_1870, news_1301, news_174, news_5051
U960: news_6226, news_4715, news_4031, news_7242, news_6148, news_2824, news_6143, news_5051, news_5932, news_8189, news_7131, news_5752, news_6033, news_4140, news_6108, news_4722, news_174, news_4237, news_8489, news_1244
U5040: news_2057, news_5002, news_1367, news_7242, news_5773, news_5606, news_7856, news_5884, news_6553, news_150, news_2789, news_8189, news_741, news_1291, news_2035, news_5193, news_5535, news_4715, news_7767, news_2864
U3041: news_1178, news_5193, news_6665, news_7242, news_1829, news_1291, news_4721, news_2864, news_2623, news_4083, news_5564, news_4715, news_2123, news_683, news_4014, news_8627, news_1018, news_8189, news_1523, news_5606
U3143: news_6360, news_7119, news_7157, news_4083, news_1164, news_5884, news_741, news_5051, news_4118, news_150, news_649, news_5752, news_7670, news_3947, news_2540, news_2573, news_7728, news_1301, news_4199, news_683
U91: news_6143, news_4715, news_6023, news_5752, news_6148, news_3947, news_6033, news_5051, news_6182, news_8189, news_7131, news_7242, news_6226, news_4140, news_6108, news_6154, news_8231, news_4237, news_1225, news_4781
U3066: news_5572, news_7119, news_1367, news_7242, news_5682, news_5884, news_7856, news_5606, news_3892, news_4715, news_5781, news_8189, news_6259, news_3947, news_741, news_1288, news_1870, news_1301, news_7830, news_195
U1235: news_4126, news_8468, news_8489, news_5752, news_7688, news_211, news_4219, news_3563, news_4031, news_4715, news_6148, news_4083, news_7531, news_5051, news_3956, news_553, news_1225, news_4681, news_1562, news_2824
U1608: news_8382, news_2950, news_1799, news_7242, news_3460, news_2864, news_1890, news_5884, news_6579, news_150, news_5781, news_1301, news_116, news_5051, news_2739, news_1477, news_153, news_5752, news_1164, news_683
U1282: news_4000, news_5193, news_6148, news_7242, news_1367, news_211, news_1125, news_1244, news_5932, news_4715, news_174, news_8189, news_6226, news_2824, news_6143, news_8468, news_7131, news_5752, news_8489, news_3947
U1178: news_7670, news_1288, news_1367, news_4083, news_649, news_3947, news_7103, news_5884, news_4133, news_4715, news_5682, news_5752, news_5808, news_5051, news_6021, news_4190, news_7728, news_8189, news_5781, news_4140
U3194: news_1178, news_5193, news_163, news_5752, news_6080, news_1291, news_2771, news_5051, news_3982, news_5832, news_7465, news_1301, news_1213, news_4650, news_7567, news_2950, news_6395, news_150, news_1412, news_3491
U1369: news_741, news_8479, news_6148, news_7242, news_1367, news_1291, news_6226, news_211, news_7162, news_4715, news_7789, news_5752, news_1125, news_5606, news_4000, news_5193, news_6665, news_8643, news_5535, news_1244
U3687: news_741, news_7119, news_5682, news_7242, news_1367, news_5884, news_7856, news_3947, news_5932, news_4715, news_5781, news_8189, news_934, news_211, news_4000, news_557, news_1870, news_1301, news_174, news_5606
U4903: news_6324, news_8643, news_2719, news_7242, news_6148, news_211, news_3930, news_1291, news_7566, news_4715, news_470, news_8189, news_7735, news_1244, news_2133, news_482, news_1029, news_5752, news_8489, news_4266
U5155: news_1125, news_5193, news_1367, news_7242, news_6665, news_211, news_4000, news_1244, news_4031, news_4715, news_174, news_8189, news_741, news_5606, news_6226, news_8468, news_7131, news_5752, news_8489, news_1291
