U1085, iter_0: news_3947, news_5051, news_150, news_2864, news_2824, news_8189, news_4781, news_4715, news_3563, news_4140, news_1291, news_211, news_5884, news_4237, news_195, news_1244, news_5606, news_144, news_1120, news_7824
U2802, iter_0: news_4715, news_3563, news_5606, news_683, news_5051, news_7824, news_8643, news_4237, news_2824, news_1244, news_1291, news_5797, news_3947, news_4781, news_150, news_144, news_2864, news_211, news_4650, news_1301
U1305, iter_0: news_3947, news_150, news_5051, news_2864, news_4140, news_2824, news_8189, news_4781, news_5884, news_1291, news_3563, news_211, news_195, news_4715, news_4237, news_1120, news_1244, news_144, news_5606, news_7212
U1512, iter_0: news_4715, news_3563, news_683, news_5606, news_8643, news_1244, news_5051, news_144, news_2824, news_4681, news_211, news_1301, news_4249, news_150, news_4083, news_7242, news_195, news_4266, news_5884, news_4237
U3433, iter_0: news_3947, news_150, news_5051, news_2864, news_2824, news_8189, news_4140, news_1291, news_4781, news_3563, news_5884, news_211, news_4715, news_4237, news_1244, news_195, news_1120, news_5606, news_7824, news_144
U354, iter_0: news_4375, news_8189, news_6666, news_8409, news_911, news_6703, news_4722, news_8479, news_7112, news_557, news_958, news_3976, news_8468, news_150, news_2573, news_6659, news_623, news_6055, news_4260, news_4071
U57, iter_0: news_150, news_2864, news_8189, news_4140, news_5884, news_211, news_4715, news_4237, news_195, news_1120, news_5606, news_144, news_4083, news_4249, news_1301, news_7242, news_4650, news_8308, news_8643, news_5752
U1324, iter_0: news_4715, news_683, news_5797, news_8643, news_5752, news_4266, news_4681, news_5606, news_7824, news_4650, news_144, news_3563, news_1301, news_3491, news_2801, news_4237, news_8308, news_4249, news_7242, news_1244
U3852, iter_0: news_3947, news_8189, news_150, news_2864, news_4140, news_2824, news_5051, news_5884, news_1291, news_4781, news_211, news_3563, news_4237, news_1244, news_1120, news_195, news_4715, news_5606, news_7824, news_144
U5515, iter_0: news_4715, news_4781, news_3947, news_150, news_683, news_2864, news_7824, news_4237, news_8643, news_1301, news_5752, news_7212, news_4650, news_4266, news_4083, news_4249, news_4681, news_8189, news_195, news_7242
U808, iter_0: news_3947, news_5051, news_150, news_2864, news_2824, news_4715, news_1291, news_3563, news_4781, news_8189, news_4237, news_1244, news_211, news_5606, news_4140, news_5884, news_7824, news_144, news_195, news_1120
U2391, iter_0: news_4715, news_4781, news_3947, news_5051, news_150, news_1244, news_7824, news_5606, news_2824, news_4237, news_8643, news_1301, news_211, news_5752, news_4650, news_4681, news_4249, news_4083, news_4266, news_8189
U6044, iter_0: news_3947, news_5051, news_2864, news_150, news_4715, news_2824, news_3563, news_4781, news_1291, news_8189, news_1244, news_4237, news_211, news_5606, news_4140, news_144, news_7824, news_195, news_5884, news_683
U908, iter_0: news_4715, news_5051, news_3947, news_2864, news_3563, news_150, news_4781, news_2824, news_1291, news_1244, news_5606, news_4237, news_683, news_144, news_7824, news_211, news_8189, news_5797, news_1301, news_7212
U6346, iter_0: news_8189, news_5884, news_211, news_2824, news_4237, news_1291, news_1244, news_4140, news_2864, news_3947, news_3563, news_5051, news_5606, news_150, news_4249, news_4715, news_7824, news_1120, news_195, news_4781
U3297, iter_0: news_4715, news_5606, news_3563, news_8643, news_2824, news_7824, news_211, news_4237, news_1291, news_8189, news_144, news_2864, news_150, news_1301, news_4249, news_4681, news_195, news_4083, news_5752, news_7242
U14, iter_0: news_8189, news_4140, news_211, news_2824, news_1291, news_2864, news_3947, news_150, news_4237, news_1244, news_1120, news_5051, news_195, news_3563, news_4781, news_5606, news_4249, news_7824, news_4715, news_4083
U3352, iter_0: news_3947, news_150, news_5051, news_4715, news_3563, news_144, news_1291, news_7824, news_195, news_5606, news_4237, news_5797, news_4140, news_1301, news_8189, news_4083, news_1120, news_8643, news_5752, news_7242
U960, iter_0: news_8189, news_2824, news_5884, news_3947, news_4140, news_5051, news_2864, news_1291, news_211, news_4237, news_3563, news_1244, news_4781, news_195, news_1120, news_5606, news_7824, news_4249, news_144, news_4083
U5040, iter_0: news_3947, news_150, news_2864, news_5051, news_4781, news_2824, news_1291, news_4715, news_3563, news_211, news_4140, news_4237, news_1244, news_5884, news_195, news_5606, news_1120, news_7824, news_144, news_7212
U3041, iter_0: news_8189, news_2824, news_3947, news_5051, news_1291, news_211, news_5884, news_2864, news_150, news_3563, news_4140, news_4237, news_1244, news_4715, news_4781, news_5606, news_195, news_7824, news_1120, news_4249
U3143, iter_0: news_8189, news_3947, news_4140, news_5884, news_150, news_2864, news_2824, news_5051, news_1291, news_211, news_4781, news_4237, news_1120, news_195, news_1244, news_3563, news_4715, news_5606, news_4249, news_7824
U91, iter_0: news_8189, news_2824, news_211, news_5884, news_5051, news_1291, news_3563, news_3947, news_4237, news_150, news_5606, news_4140, news_1244, news_4715, news_195, news_7824, news_4781, news_1120, news_4249, news_144
U3066, iter_0: news_8189, news_5884, news_211, news_4249, news_2824, news_4140, news_1291, news_3947, news_1244, news_2864, news_150, news_5606, news_5051, news_3563, news_8308, news_1120, news_4083, news_7824, news_1301, news_4650
U1235, iter_0: news_4715, news_3947, news_5051, news_4781, news_150, news_3563, news_2864, news_683, news_144, news_1291, news_2824, news_4237, news_1244, news_7824, news_5797, news_5606, news_1301, news_7212, news_4266, news_5752
U1608, iter_0: news_8189, news_2824, news_3947, news_5051, news_150, news_4140, news_3563, news_4237, news_4781, news_4715, news_195, news_7824, news_4249, news_1301, news_4083, news_8643, news_7242, news_8308, news_5797, news_2801
U1282, iter_0: news_2824, news_8189, news_5051, news_5606, news_211, news_3563, news_4237, news_150, news_5884, news_2864, news_3947, news_7824, news_1291, news_195, news_1244, news_144, news_4140, news_4781, news_4650, news_1301
U1178, iter_0: news_4715, news_3563, news_3947, news_5051, news_4781, news_1291, news_150, news_2864, news_683, news_1244, news_2824, news_5606, news_7824, news_4237, news_144, news_8643, news_211, news_5797, news_1301, news_4650
U3194, iter_0: news_3947, news_4715, news_5051, news_2864, news_150, news_2824, news_1291, news_3563, news_4781, news_4237, news_1244, news_8189, news_211, news_5606, news_7824, news_144, news_4140, news_683, news_5884, news_4249
